term,irr,irr_low,irr_high,p_value
const,0.014350346742867564,0.013578280942079614,0.015166312474971492,0.0
share_65plus,1.0855357346607135,1.0619409623550646,1.1096547482376669,2.4778888906685866e-13
imd_score,1.1592344598350826,1.1362215048647242,1.1827135176684833,2.776137456235842e-47
vacancy_rate,1.001648166997135,0.9851026182824817,1.0184716108033136,0.8463464406227931
region_East of England,1.0581919540997928,0.9809821791839778,1.1414786481167376,0.14340198346576638
region_London,1.1278310592940102,1.051574911244617,1.209617008457095,0.0007574863518920294
region_North East,1.1016947097723446,1.016692842046511,1.1938032642162004,0.01807553657447779
region_North West,1.0746468059428897,1.0022156996259675,1.1523125789730269,0.043162898098508574
region_South East,1.0212079684996165,0.952560160465291,1.0948029932489634,0.5544667435791488
region_South West,0.9976289655854558,0.9275985819436063,1.0729463933523067,0.9490294189688211
region_West Midlands,0.9728180948838392,0.9045755097931412,1.0462090068631638,0.45770115085667007
region_Yorkshire and The Humber,0.9704310120466777,0.8996066397002616,1.0468312566653741,0.4375864627502648
