term,irr,irr_low,irr_high,p_value
"Agency rate, previous year",1.000693685537546,0.9779124361096663,1.0240056423236013,0.9529368753609629
"Turnover rate, previous year",1.0073691597015848,0.9725521047219433,1.0434326541383718,0.6824507931796653
"Average caseload, previous year",1.0531198298609552,0.9598515409730591,1.155450951219024,0.2739963005212688
"Vacancy rate, previous year",0.9989962781511559,0.9757993841540772,1.0227446132537013,0.933234185018551
Deprivation score,0.9987349820238148,0.9690857857223694,1.0292912959966503,0.934388630478037
